Pianist,KnotIndex,X,Y,Z,Velocity,RubatoDevS
Gieseking,215,89.0358,63.0219,430.0,0.3701,70.3
Gieseking,216,-208.2894,52.7112,432.0,0.3386,70.5167
Gieseking,217,-210.6792,-74.3665,434.0,0.4094,70.5333
Gieseking,218,96.683,18.3962,436.0,0.3386,70.8
Gieseking,219,-188.1988,92.4384,438.0,0.3386,71.0167
Gieseking,220,-199.622,-90.5374,440.0,0.3937,71.0833
Gieseking,221,31.3083,-132.1885,442.0,0.3543,71.2
Gieseking,222,111.2763,-28.7506,444.0,0.4409,71.2167
Gieseking,223,-169.2375,139.9133,446.0,0.4646,71.4333
Gieseking,224,52.0394,-127.4084,448.0,0.4094,71.75
Gieseking,225,58.1505,110.1799,450.0,0.3543,71.8667
Gieseking,226,-172.0321,113.3144,452.0,0.3386,71.9833
Gieseking,227,-234.7164,-1.5571,454.0,0.4409,72.0
Gieseking,228,-117.7087,-152.4443,456.0,0.3622,72.0667
Gieseking,229,69.1414,-116.1959,458.0,0.4331,72.1333
Gieseking,230,51.7127,131.6979,460.0,0.4252,72.25
Gieseking,231,-169.771,-145.884,462.0,0.4882,72.5667
Gieseking,232,112.8027,32.1834,464.0,0.4409,72.7833
Gieseking,233,-209.4089,93.1438,466.0,0.4409,73.0
Gieseking,234,121.5677,-18.0436,468.0,0.4803,73.3667
Gieseking,235,22.6503,162.7697,470.0,0.4803,73.4333
Gieseking,236,-178.6673,132.5608,472.0,0.4488,73.5
Gieseking,237,-62.0523,-179.3765,474.0,0.4567,73.7167
Gieseking,238,4.5965,175.3103,476.0,0.5039,73.9833
Gieseking,239,-250.0468,-14.504,478.0,0.5276,74.15
Gieseking,240,-116.0585,-184.7327,480.0,0.5433,74.2167
Gieseking,241,89.1478,-117.0557,482.0,0.5197,74.2833
Gieseking,242,-244.8746,38.828,484.0,0.5118,74.65
Gieseking,243,-93.6498,-187.246,486.0,0.5197,74.7667
Gieseking,244,-37.8501,184.622,488.0,0.4882,75.0833
Gieseking,245,-205.7383,-125.2155,490.0,0.5276,75.3
Gieseking,246,129.9745,-6.0419,492.0,0.5118,75.5167
Gieseking,247,10.3402,165.1766,494.0,0.4409,75.5833
Gieseking,248,-230.1551,-77.3406,496.0,0.4882,75.8
Gieseking,249,126.5329,15.8977,498.0,0.4882,76.025
Gieseking,250,-223.4414,-23.6044,500.0,0.3386,76.3
Gieseking,251,81.3493,97.0838,502.0,0.378,76.625
Gieseking,252,-103.061,183.0508,504.0,0.4882,76.65
Gieseking,253,-145.6571,-152.9362,506.0,0.4016,76.825
Gieseking,254,-51.2103,168.4102,508.0,0.3543,77.15
Gieseking,255,4.948,-150.9735,510.0,0.3228,77.475
Gieseking,256,-189.8767,110.7609,512.0,0.3622,77.8
Gieseking,257,-154.1238,143.1993,514.0,0.3622,78.3
Gieseking,258,-86.4244,-163.6284,516.0,0.3228,78.5167
Gieseking,259,-108.8571,158.8986,518.0,0.3228,78.8833
Gieseking,260,-62.6509,175.3821,520.0,0.378,79.55
Gieseking,261,-13.6168,168.8608,522.0,0.3701,80.2167
Gieseking,262,-200.6493,104.4723,524.0,0.3701,80.2833
Gieseking,263,-164.2556,137.5,526.0,0.3465,80.95
Gieseking,264,-121.1588,159.7831,528.0,0.3307,81.6167
